,City,Latitude,Longitude,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
124,Agadir,30.42,-9.58,86.0,37,75,10.29
125,Bilma,18.69,12.92,103.57,18,12,7.99
126,Tuktoyaktuk,69.44,-133.03,30.13,100,80,9.78
127,Puerto del Rosario,28.5,-13.86,77.79,74,40,13.87
128,Formosa do Rio Preto,-11.04,-45.19,91.6,31,0,8.32
129,Carnarvon,-30.97,22.13,72.97,7,0,10.22
130,Sinnamary,5.38,-52.96,83.05,93,76,11.68
131,Zaysan,47.47,84.87,58.12,47,0,2.95
132,Fomboni,-12.28,43.74,79.09,100,36,2.95
133,Chokurdakh,70.62,147.9,27.7,93,48,8.21
134,Panguipulli,-39.64,-72.33,48.2,93,75,4.74
135,Bjornevatn,69.67,29.98,39.2,64,0,17.22
136,Dingle,11.0,122.67,78.37,90,68,5.75
137,Cabra,37.47,-4.43,82.33,45,0,2.24
138,Klaksvik,62.23,-6.59,46.4,81,76,24.16
139,Circleville,39.6,-82.95,49.84,79,1,4.7
140,Nanortalik,60.14,-45.24,37.6,94,44,16.93
141,Guerrero Negro,27.97,-114.04,65.77,100,24,2.28
142,Chifeng,42.27,118.96,42.19,62,8,6.08
143,Alta Floresta,-9.87,-56.08,78.19,92,0,2.73
144,Luderitz,-26.65,15.16,72.7,70,0,7.99
145,Necochea,-38.55,-58.74,61.45,98,88,4.52
146,Chaozhou,23.66,116.62,80.6,61,0,1.72
147,Jishui,27.23,115.13,68.92,72,0,5.75
148,Tasiilaq,65.61,-37.64,37.4,40,20,10.29
149,Nikolskoye,59.7,30.79,46.4,49,40,8.95
150,Puerto Escondido,15.86,-97.07,73.4,69,5,5.82
151,Lavrentiya,65.58,-170.99,46.69,86,92,24.32
152,Gotsu,35.01,132.22,64.6,100,92,9.22
153,Eston,51.15,-108.75,33.8,100,90,9.17
154,Longyearbyen,78.22,15.63,26.6,73,40,6.93
155,Georgetown,6.8,-58.16,84.2,83,40,9.17
156,Kavieng,-2.57,150.8,84.4,100,0,5.64
157,Bambous Virieux,-20.34,57.76,75.2,73,40,8.05
158,Qeshm,26.96,56.27,95.0,56,20,9.17
159,Niquero,20.04,-77.58,79.81,100,12,7.76
160,Beidao,34.57,105.89,52.99,88,32,2.51
161,Berlevag,70.86,29.09,39.2,60,0,6.93
162,Sumbe,-11.2,13.84,76.39,86,0,10.0
163,Nhulunbuy,-12.18,136.78,75.2,60,40,8.05
164,Lahat,-3.78,103.55,91.06,36,48,6.64
165,Ilulissat,69.22,-51.1,33.8,74,75,12.75
166,Capinzal,-27.34,-51.61,70.09,82,0,14.92
167,Madras,44.63,-121.13,43.59,85,1,6.93
168,Severnoye,54.09,52.54,55.24,82,80,8.21
169,Port Alfred,-33.59,26.89,66.85,78,0,5.41
170,Bara,10.41,10.6,90.07,60,24,5.75
171,Shimoga,13.92,75.57,73.78,100,20,3.4
172,Dikson,73.51,80.55,44.98,76,32,24.09
173,Santa Cruz del Norte,23.15,-81.92,74.32,100,20,3.36
174,Flinders,-34.58,150.85,48.2,76,75,4.7
175,Mocuba,-16.84,36.99,95.83,33,0,7.76
176,Solihull,52.41,-1.78,58.59,47,0,5.82
177,Pangnirtung,66.15,-65.72,25.27,83,48,9.33
178,Djenne,13.91,-4.55,80.08,100,56,4.63
179,Loandjili,-4.77,11.87,81.7,80,44,6.98
180,Los Llanos de Aridane,28.66,-17.92,80.6,65,20,13.87
181,Kampene,-3.59,26.67,80.53,64,48,3.74
182,Eyl,7.98,49.82,81.79,73,24,13.69
183,Tuatapere,-46.13,167.69,47.05,100,92,6.64
184,Petatlan,17.52,-101.27,77.0,83,40,4.7
185,Oistins,13.07,-59.53,84.2,70,20,20.8
186,Tadine,-21.55,167.88,71.44,98,92,20.51
187,Touros,-5.2,-35.46,81.07,79,64,13.02
188,Iralaya,15.0,-83.23,78.55,100,56,3.96
189,Lundazi,-12.29,33.17,92.95,20,56,7.99
190,Yumen,40.29,97.04,58.03,20,56,11.56
191,Qianan,44.99,124.06,49.12,100,92,4.41
192,Mulchen,-37.72,-72.23,50.0,100,90,5.82
193,Polunochnoye,60.87,60.43,46.69,72,24,11.23
194,Victoria,5.28,115.24,82.42,88,75,4.07
195,Rocha,-34.48,-54.34,70.09,87,32,16.49
196,Lashio,22.93,97.75,74.05,90,48,1.72
197,Castro,-42.48,-73.76,44.44,100,92,8.77
198,Kahului,20.89,-156.47,73.94,90,1,4.7
199,Broome,52.47,1.45,59.65,51,0,11.41
200,Upernavik,72.79,-56.15,33.82,100,80,23.64
201,Lasa,34.92,32.53,86.65,55,20,16.11
202,Ankazobe,-18.32,47.12,75.2,36,40,9.17
203,Byron Bay,-28.65,153.62,66.2,88,68,6.93
204,Ruteng,-8.61,120.46,72.88,93,0,2.17
205,Saskylakh,71.97,114.09,37.06,98,92,5.3
206,Kutum,14.2,24.66,97.72,16,20,10.67
207,Mentor,41.67,-81.34,54.63,60,90,5.82
208,Leningradskiy,69.38,178.42,41.47,92,92,19.84
209,Bethel,60.79,-161.76,48.02,86,1,4.7
210,Calbuco,-41.77,-73.13,44.6,87,40,5.82
211,Ilo,-17.65,-71.34,54.07,100,24,1.39
212,Katsuura,33.93,134.5,67.37,94,90,3.36
213,Pine Bluff,34.23,-92.0,56.97,100,68,2.84
214,Khatanga,71.98,102.47,39.85,86,8,9.33
215,Sakaiminato,35.55,133.23,66.2,82,75,9.17
216,San-Pedro,4.75,-6.64,81.7,100,20,6.64
217,Canchungo,12.07,-16.03,76.06,94,75,6.93
218,Ormara,25.21,64.64,85.21,67,0,16.71
219,Petauke,-14.25,31.33,96.19,16,0,11.45
220,Hualmay,-11.1,-77.61,55.87,87,24,3.18
221,Cabo San Lucas,22.89,-109.91,76.21,94,75,6.93
222,Poum,41.28,20.71,69.8,26,40,12.75
223,Tateyama,36.66,137.31,64.4,93,75,3.36
224,Malmesbury,51.58,-2.1,58.96,51,0,4.7
225,Sabang,13.72,123.58,80.44,96,8,4.85
226,Sorland,67.67,12.69,48.2,87,75,16.11
227,Chicama,-7.84,-79.15,60.8,93,90,5.82
228,Esperance,10.24,-61.45,84.2,79,20,8.05
229,Sabzevar,36.21,57.68,84.2,13,20,11.41
230,Torbay,47.66,-52.73,62.35,82,75,11.41
231,Bandarbeyla,9.49,50.81,79.72,92,0,21.85
232,Henties Bay,-22.12,14.28,67.84,82,0,4.41
233,Rio Gallegos,-51.62,-69.22,37.4,86,75,9.17
234,Krym,47.3,39.51,69.01,45,76,9.22
235,Karratha,-20.74,116.85,74.05,36,0,10.78
236,Shu,43.6,73.76,77.92,27,0,10.0
237,Qandala,11.47,49.87,86.92,56,0,4.41
238,Gerash,27.67,54.14,95.0,20,40,4.7
239,Tiksi,71.64,128.87,31.12,100,88,2.84
240,Clyde River,70.47,-68.59,24.8,73,90,5.82
241,Rock Springs,41.59,-109.2,55.94,10,1,6.76
242,Kiunga,-6.12,141.3,76.3,86,48,3.18
243,Birin,35.01,36.67,88.0,32,0,12.8
244,Broken Hill,-31.97,141.45,47.32,47,0,7.99
245,Kavaratti,10.57,72.64,82.06,100,100,11.45
246,Bubaque,11.28,-15.83,77.0,94,75,6.93
247,Dalen,52.7,6.76,58.1,44,0,5.82
248,Ancud,-41.87,-73.83,45.79,94,92,9.55
249,Hithadhoo,-0.6,73.08,81.52,100,92,7.65
250,Pacific Grove,36.62,-121.92,55.0,64,90,4.7
251,Shubarshi,48.59,57.19,65.32,53,24,12.46
252,Komsomolskiy,67.55,63.78,40.3,89,64,13.24
253,Vila,45.18,8.4,75.65,26,0,8.05
254,Tursunzoda,38.51,68.23,80.6,19,0,8.95
255,Ovalle,-30.6,-71.2,56.77,87,68,2.06
256,Bereda,43.27,-7.54,69.8,73,0,5.82
257,Portland,45.52,-122.67,53.76,96,75,1.05
258,Salalah,17.01,54.1,82.4,61,20,8.05
259,Fernley,39.61,-119.25,56.82,36,1,8.05
260,Matamoros,25.87,-97.51,76.69,94,75,3.18
261,Mapua,-41.25,173.1,43.63,85,36,2.95
262,Sao Joao da Barra,-21.64,-41.05,73.4,88,90,9.17
263,Srednekolymsk,67.46,153.71,32.2,92,88,5.97
264,Tessalit,20.2,1.01,97.09,29,64,4.97
265,Garowe,8.41,48.48,87.37,55,24,12.68
266,Cap Malheureux,-19.98,57.61,75.2,73,40,8.05
267,Dauphin,51.15,-100.04,24.8,85,1,6.93
268,Qaqortoq,60.72,-46.03,33.8,47,20,3.36
269,Kadrina,59.34,26.14,46.78,79,88,7.76
270,Santa Maria,-29.69,-53.81,78.8,65,0,6.93
271,Bowen,-20.01,148.25,64.4,88,40,5.82
272,Ahipara,-35.17,173.16,44.26,100,0,1.16
273,Lebu,8.96,38.73,74.59,29,12,10.67
274,Marivan,35.52,46.18,80.8,17,0,3.18
275,Brae,60.4,-1.35,51.8,81,92,34.45
276,Isiro,2.77,27.62,77.2,84,80,2.73
277,Montabaur,50.44,7.83,56.08,43,0,8.05
278,Norden,53.59,7.21,58.03,51,40,8.05
279,Grindavik,63.84,-22.43,41.95,80,75,10.29
280,Zhigansk,66.77,123.37,34.99,95,88,3.4
281,Camacha,33.08,-16.33,76.46,78,75,12.75
282,Fairbanks,64.84,-147.72,35.35,14,1,8.05
283,Omama,36.43,139.28,55.33,98,100,1.83
284,Stantsionno-Oyashinskiy,55.47,83.82,53.44,49,0,11.45
285,Cabo Rojo,18.09,-67.15,82.4,100,1,11.41
286,Lokosovo,61.13,74.84,46.42,77,92,12.8
287,La Ronge,55.1,-105.3,32.0,88,90,6.93
288,Sfantu Gheorghe,44.65,26.83,72.5,35,0,13.87
289,Praia,-20.25,-43.81,76.03,65,40,14.99
290,Witu,-2.39,40.44,83.05,65,48,14.14
291,Souillac,45.6,-0.6,69.8,43,0,14.99
292,Trento,46.07,11.13,64.4,44,20,3.36
293,North Bend,43.41,-124.22,58.1,83,90,6.93
294,Belvedere Marittimo,39.62,15.86,72.16,97,0,4.41
295,Port Lincoln,-34.72,135.86,50.29,100,0,9.66
296,Kamina,-8.74,25.0,81.52,88,20,3.74
297,Igurubi,-4.0,33.71,88.27,39,0,7.99
298,Nerchinskiy Zavod,51.31,119.61,48.76,61,8,4.74
299,Alyangula,-13.85,136.42,77.47,99,0,14.03
300,Aklavik,68.22,-135.01,26.6,100,90,3.36
301,Padang,-0.92,100.36,79.27,100,68,5.64
302,Guanica,17.97,-66.91,82.4,100,1,11.41
303,Houma,35.63,111.36,55.96,69,0,1.95
304,Faanui,-16.48,-151.75,76.57,100,8,9.1
305,Pangoa,-12.12,-73.0,66.13,97,88,2.51
306,Erdenet,49.03,104.04,32.83,88,0,2.39
307,Vostok,46.45,135.83,38.23,85,12,1.95
308,Mandapam,9.28,79.12,82.24,100,12,5.64
309,Little Current,45.98,-81.93,46.4,81,90,8.05
310,Eureka,40.8,-124.16,58.24,76,90,8.05
311,Handan,36.58,114.48,69.73,37,32,10.67
312,Rawson,-43.3,-65.11,54.34,51,36,11.79
313,Villa Carlos Paz,-31.42,-64.5,66.2,93,75,20.8
314,Chapais,49.78,-74.86,33.8,88,90,4.7
315,Tahoua,14.89,5.26,93.2,38,0,5.19
316,Belgrade,44.82,20.46,68.88,40,0,16.11
317,Belaya Gora,68.54,146.19,31.12,94,88,10.67
318,Pyinmana,19.74,96.21,83.77,75,12,2.28
319,Hobyo,5.35,48.53,80.53,88,64,14.03
320,Kanniyakumari,8.08,77.57,81.43,98,48,16.82
321,Smithers,54.78,-127.17,46.4,42,1,11.41
322,Shizunai,42.33,142.37,49.57,94,64,3.29
323,Taoudenni,22.68,-3.98,97.99,20,0,6.2
324,Skibbereen,51.55,-9.27,55.4,71,75,5.82
325,Juquitiba,-23.93,-47.07,70.74,77,75,6.93
326,Pevek,69.7,170.27,39.49,100,88,8.88
327,Tarauaca,-8.16,-70.77,77.65,91,8,3.74
328,San Cristobal,-0.39,-78.55,50.0,87,75,2.24
329,Comodoro Rivadavia,-45.87,-67.48,53.6,40,20,19.46
330,Tucurui,-3.77,-49.67,80.8,85,8,3.74
331,Tokur,53.13,132.9,42.01,97,92,4.63
332,Gamba,28.28,88.52,37.42,38,0,3.96
333,Natal,-5.81,-35.21,86.0,62,75,16.11
334,Carauari,-4.88,-66.9,78.82,89,0,3.74
335,Yoichi,43.19,140.77,56.5,100,68,3.18
336,Lubbock,33.58,-101.86,53.37,90,90,6.93
337,Nelson Bay,-32.72,152.14,59.0,54,40,10.29
338,Orange,-33.28,149.1,43.18,56,0,6.98
339,Omboue,-1.57,9.26,78.46,100,44,10.67
340,Aldan,58.61,125.39,41.02,79,92,6.2
341,Gros Islet,14.07,-60.95,84.2,78,20,8.05
342,Cururupu,-1.82,-44.87,87.01,62,0,12.46
343,Khonsa,26.99,95.51,74.05,93,32,1.5
344,Roald,62.58,6.12,48.7,81,75,29.97
345,Ust-Ordynskiy,52.8,104.75,44.6,75,0,4.47
346,Porto Walter,-8.27,-72.74,77.83,91,48,2.84
347,Milford,40.77,-97.05,47.71,70,90,10.29
348,Kiama,-34.67,150.86,48.2,76,75,4.7
349,Balikpapan,-1.24,116.86,82.4,83,20,2.24
350,Umm Lajj,25.02,37.27,94.75,53,92,8.77
351,Evanston,42.04,-87.69,39.34,87,1,8.21
352,Metro,-5.11,105.31,81.97,69,0,5.19
353,Ust-Nera,64.57,143.24,16.54,90,68,3.96
354,Fukue,35.03,136.69,66.2,93,75,10.29
355,Yining,29.04,114.56,60.82,69,0,3.85
356,Mount Isa,-20.73,139.49,69.8,26,0,11.01
357,Gat,14.69,-16.54,82.4,78,0,2.24
358,Kruisfontein,-34.0,24.73,66.94,70,0,4.97
359,Contamana,-7.35,-75.01,77.2,92,88,1.72
360,Creaca,47.2,23.23,56.61,54,92,3.36
361,Nioro,13.79,-15.05,84.13,94,92,5.3
362,Gilgit,35.92,74.31,45.07,61,68,0.6
363,Ribeira Brava,32.65,-17.07,78.8,57,40,13.87
364,Biak,-0.91,122.88,79.09,86,20,6.87
365,Illapel,-31.63,-71.17,53.8,92,92,2.62
366,Bathsheba,13.22,-59.52,84.2,70,20,20.8
367,Tabou,4.42,-7.36,77.65,100,76,11.34
368,Kendari,-3.99,122.52,79.0,67,0,5.75
369,Sur,22.57,59.53,88.81,79,0,5.97
370,Menongue,-14.66,17.68,91.6,21,36,4.63
371,Sansepolcro,43.57,12.14,76.8,64,0,12.75
372,Shenkursk,62.11,42.91,41.83,90,36,9.33
373,Phangnga,8.45,98.53,82.04,74,20,2.24
374,Yeppoon,-23.13,150.74,68.0,72,0,6.08
375,Sioux Lookout,50.1,-91.92,27.81,86,75,6.93
376,Egvekinot,66.32,-179.17,47.86,97,92,7.54
377,Tsabong,-26.02,22.4,92.86,15,0,11.68
378,Fortuna,38.18,-1.13,80.04,50,20,9.17
379,Vila Franca do Campo,37.72,-25.43,73.4,64,75,16.11
380,Port Hardy,50.7,-127.42,48.2,100,90,2.24
381,Oranjestad,12.52,-70.03,84.2,79,40,8.05
382,Waitati,-45.75,170.57,48.67,74,92,3.4
383,Yerbogachen,61.28,108.01,40.75,85,0,3.18
384,Gadung,-7.32,112.63,82.4,74,20,14.99
385,Alofi,-19.06,-169.92,73.4,83,92,9.17
386,Najran,17.54,44.22,95.0,12,20,9.17
387,Gangapur,19.7,75.01,87.8,55,75,4.7
388,Sura,30.03,77.1,84.67,70,0,6.98
389,Murdochville,48.96,-65.49,43.18,89,92,6.64
390,Syrskoye,52.57,39.53,48.4,100,92,6.98
391,Ostrovnoy,68.05,39.51,38.14,81,92,14.03
392,Pinerolo,44.89,7.33,73.31,33,40,4.7
393,Waipawa,-39.94,176.59,42.55,78,0,8.21
394,Mayumba,-3.44,10.65,77.2,93,36,8.77
395,Kanye,-24.98,25.34,88.27,29,0,7.2
396,Xining,36.62,101.77,45.07,51,20,6.76
397,Tokmak,47.26,35.7,69.01,51,36,7.99
398,Colares,38.8,-9.45,78.8,50,0,8.05
399,San Policarpo,12.18,125.51,80.26,99,8,1.95
400,Mogadishu,2.04,45.34,79.36,100,80,16.82
401,Mar del Plata,-46.43,-67.52,47.5,56,0,21.3
402,Ust-Tsilma,65.44,52.15,40.03,93,88,6.42
403,Abohar,30.15,74.2,88.0,59,20,5.41
404,San Juan,-31.54,-68.53,67.39,43,0,2.62
405,Staraya Poltavka,50.48,46.48,66.67,57,48,11.34
406,Ilhabela,-23.78,-45.36,72.25,98,36,10.67
407,Boende,-0.28,20.88,82.06,77,80,3.06
408,Moses Lake,47.13,-119.28,57.11,48,90,6.93
409,Eregli,37.51,34.05,73.51,56,0,4.63
410,Hofn,64.25,-15.21,47.41,90,0,14.25
411,Laguna,27.52,-110.01,77.0,88,75,2.24
412,Magnitka,55.34,59.7,53.44,74,92,12.46
413,Chabahar,25.29,60.65,84.49,89,0,11.79
414,Kudahuvadhoo,2.67,72.89,82.78,100,8,14.36
415,Malanje,-9.54,16.35,78.8,69,75,9.17
416,Aranos,-24.14,19.11,89.62,18,12,13.8
417,Paamiut,61.99,-49.67,38.59,100,80,17.49
418,Te Anau,-45.41,167.72,42.82,100,92,2.62
419,Fagundes,-7.36,-35.78,78.8,65,75,13.87
420,Luena,-11.78,19.91,86.47,43,64,6.08
421,Zaria,11.11,7.72,85.3,94,0,4.63
422,Usogorsk,63.43,48.71,41.2,92,92,6.08
423,Christchurch,-43.53,172.64,50.0,61,0,8.05
424,La Asuncion,-1.64,-78.74,37.69,90,12,0.16
425,Zhanaozen,43.35,52.85,78.64,24,24,10.0
426,Tolaga Bay,-38.37,178.3,43.99,80,12,5.41
427,NEDJO,9.5,35.5,72.97,88,32,2.73
428,Axim,4.87,-2.24,78.82,97,32,9.78
429,Kanina,-10.73,25.47,83.95,55,32,2.17
430,Gwanda,-20.94,29.0,88.09,27,0,21.85
431,Jijiga,9.35,42.8,80.17,20,56,3.85
432,Uvat,59.14,68.9,45.79,96,92,11.79
433,San Quintin,17.54,120.52,77.0,94,75,2.24
434,Garden City,40.73,-73.63,56.93,93,1,3.36
435,Nador,35.17,-2.93,76.14,64,20,8.05
436,Liku,-0.73,119.89,80.8,93,68,1.16
437,Kotovo,50.32,44.8,65.05,54,0,11.01
438,Caravelas,-17.73,-39.27,76.21,100,80,7.31
439,Mombetsu,44.35,143.35,57.76,100,0,3.4
440,Suntar,62.16,117.65,41.56,91,0,4.63
441,The Valley,18.22,-63.06,82.47,69,20,10.29
442,Koumac,-20.56,164.28,71.53,76,80,14.92
443,Jacareacanga,-6.22,-57.76,82.51,80,8,2.84
444,Sorong,-0.86,131.25,82.6,100,32,11.79
445,Nizwa,22.93,57.53,86.47,37,92,3.74
446,Uglekamensk,43.22,133.23,43.99,89,0,1.95
447,Agbor,6.26,6.15,83.14,100,76,5.64
448,Pindiga,9.98,10.93,90.07,60,24,5.75
449,Vila Velha,-3.71,-38.6,84.2,66,75,17.22
450,Iranshahr,27.21,60.69,98.6,12,20,11.41
451,Yarada,17.65,83.27,86.2,99,0,7.43
452,Ketchikan,55.34,-131.65,54.14,82,1,6.93
453,Mineiros,-17.57,-52.55,81.52,58,44,4.52
454,Madimba,4.42,9.93,87.8,70,75,3.36
455,Tautira,-17.73,-149.15,71.6,78,20,3.36
456,Hami,42.84,93.51,60.1,46,64,1.5
457,Aljezur,37.31,-8.8,73.69,91,0,2.06
458,Huarmey,-10.07,-78.15,55.87,85,0,1.72
459,Cheyenne,41.14,-104.82,34.02,101,20,3.36
460,Poronaysk,49.22,143.1,43.36,88,0,3.96
461,Hrodna,53.68,23.83,53.6,46,75,11.18
462,Pokhara,28.21,83.99,68.38,75,8,0.83
463,Mogadouro,41.34,-6.71,78.19,46,0,5.64
464,Tamiahua,21.28,-97.45,75.22,100,68,7.2
465,Itaberaba,-12.52,-40.31,80.8,60,0,7.43
466,Khorixas,-20.37,14.96,95.83,27,0,3.85
467,Marshfield,42.09,-70.71,55.65,96,90,8.05
468,Turzovka,49.41,18.63,53.6,50,40,12.75
469,Araguaina,-7.19,-48.21,81.7,81,24,8.88
470,Beringovskiy,63.05,179.32,48.85,95,100,21.74
471,Vao,59.1,26.19,46.78,79,88,7.76
472,Narsaq,60.91,-46.05,33.8,47,20,3.36
473,Lingyuan,41.24,119.4,44.98,66,0,7.2
474,Buala,-8.15,159.59,78.46,100,36,2.84
475,Saint-Augustin,44.83,-0.61,72.59,43,0,6.93
476,Serebryansk,49.68,83.3,59.0,62,0,6.71
477,Conner,17.8,121.32,71.89,96,24,2.28
478,Margate,-43.03,147.26,50.0,61,40,14.99
479,Pilar,-34.46,-58.91,62.6,93,90,14.99
